Date,Open,High,Low,Close,Adj Close,Volume
2016-05-13,0.9797499775886536,1.024999976158142,0.9750000238418579,1.0245000123977661,1.0033057928085327,2110256000
2016-05-16,1.0167499780654907,1.0700000524520874,1.0134999752044678,1.0547499656677246,1.0329296588897705,973032000
2016-05-17,1.0499999523162842,1.0644999742507935,1.0364999771118164,1.0570000410079956,1.0351331233978271,628392000
2016-05-18,1.0499999523162842,1.096250057220459,1.0499999523162842,1.0839999914169312,1.0615748167037964,541072000
2016-05-19,1.0797499418258667,1.096500039100647,1.0782500505447388,1.0887500047683716,1.066226601600647,398880000
2016-05-20,1.0954999923706055,1.1127500534057617,1.09375,1.1082500219345093,1.0853233337402344,391084000
2016-05-23,1.1130000352859497,1.1172499656677246,1.1032500267028809,1.1100000143051147,1.0870367288589478,413636000
2016-05-24,1.1104999780654907,1.1375000476837158,1.1074999570846558,1.1339999437332153,1.1134240627288818,415788000
2016-05-25,1.1375000476837158,1.1422499418258667,1.1202499866485596,1.1292500495910645,1.1087603569030762,458076000
2016-05-26,1.131250023841858,1.1495000123977661,1.128000020980835,1.1412500143051147,1.1205425262451172,309964000
2016-05-27,1.1425000429153442,1.1492500305175781,1.1387499570846558,1.1475000381469727,1.1266791820526123,277416000
2016-05-31,1.152500033378601,1.1705000400543213,1.1517499685287476,1.1679999828338623,1.1468071937561035,412524000
2016-06-01,1.162500023841858,1.18149995803833,1.159000039100647,1.1702500581741333,1.1490166187286377,387132000
2016-06-02,1.1764999628067017,1.1885000467300415,1.1649999618530273,1.1785000562667847,1.1571167707443237,329208000
2016-06-03,1.1670000553131104,1.1684999465942383,1.1414999961853027,1.1619999408721924,1.1409162282943726,461076000
2016-06-06,1.1649999618530273,1.1740000247955322,1.149999976158142,1.156000018119812,1.1350246667861938,322512000
2016-06-07,1.1629999876022339,1.1694999933242798,1.1577500104904175,1.1582499742507935,1.1372344493865967,193400000
2016-06-08,1.1584999561309814,1.162750005722046,1.1449999809265137,1.1545000076293945,1.133551836013794,234616000
